Participant 1,Participant 2,Rounds,Score,Winner
<@346012713329229827>,<@246256712334442497>,ft20,20 - 13,Yui
<@346012713329229827>,<@246256712334442497>,ft20,20 - 14,zender
<@346012713329229827>,<@254234672639377409>,ft20,20 - 10,yui
<@208414964568948737>,<@246256712334442497>,ft20,20 - 10,zender
<@346012713329229827>,<@254234672639377409>,ft20,20 - 11,Yui
<@456226577798135808>,<@728604069479841834>,ft20,20 - 3,yumi
<@864526001681334325>,<@855617725628153886>,ft20,20 - 14,Ph3x
<@456226577798135808>,<@254234672639377409>,ft20,20 - 12,yumi
<@254234672639377409>,<@531534866097897485>,ft20,20 - 18,Syal
<@456226577798135808>,Ad3m,ft20,20 - 13,yumi
<@254234672639377409>,<@864526001681334325>,ft100,100 - 52,Phex
<@456226577798135808>,Ad3m,ft20,20 - 16,yumi
<@254234672639377409>,<@246256712334442497>,ft20,20 - 15,zender
<@456226577798135808>,<@346012713329229827>,ft20,20 - 12,Seised
<@254234672639377409>,<@246256712334442497>,ft20,20 - 10,zender
<@254234672639377409>,<@246256712334442497>,ft20,20 - 13,zender
<@637908000052477953>,<@246256712334442497>,ft20,20 - 10,zender
<@637908000052477953>,<@246256712334442497>,ft20,20 - 8,zender
<@316436772722704385>,<@274129266265030657>,ft20,20 - 11,Saiden
<@456226577798135808>,<@187295554282323968>,ft20,20 - 8,yumi
<@456226577798135808>,Rian,ft20,20 - 4,yumi
<@456226577798135808>,<@274129266265030657>,ft20,20 - 11,yumi
<@456226577798135808>,<@246256712334442497>,ft20,20 - 14,Yumi
<@456226577798135808>,<@254234672639377409>,ft20,20 - 17,Alfa
<@864526001681334325>,<@254234672639377409>,ft20,20 - 9,Phex
<@456226577798135808> り.,<@274129266265030657>,ft20,20 - 18,yumi
<@254234672639377409>,<@246256712334442497>,ft20,20 - 18,zender
<@637908000052477953>,<@246256712334442497>,ft20,20 - 7,zender
<@456226577798135808>,<@274129266265030657>,ft20,20 - 11,yumi
<@456226577798135808>,<@187295554282323968>,ft20,20 - 5,yumi
<@456226577798135808> り.,@Adem,ft20,20 - 15,yumi
<@208414964568948737>,<@864526001681334325>,ft20,20 - 5,ph3x
<@208414964568948737>,<@346012713329229827>,ft20,20 - 14,yui
<@346012713329229827>,<@864526001681334325>,ft20,20 - 14,ph3x
<@864526001681334325>,@sky,ft20,20 - 2,Ph3x
<@864526001681334325>,<@531534866097897485>,ft20,20 - 16,ph3x
<@456226577798135808>,<@854882082286731284>,ft20,20 - 15,yumi
<@864526001681334325>,<@531534866097897485>,ft20,20 - 19,ph3x
<@531534866097897485>,<@633398160844259348>,ft20,20 - 8,syal
<@533681260204392468>,<@338411288655036431>,ft20,20 - 9,Jenox
<@208414964568948737>,<@531534866097897485>,ft20,20 - 11,syal
<@864526001681334325>,<@531534866097897485>,ft20,20 - 10,ph3x
<@864526001681334325>,<@215963632121413632>,ft20,20 - 15,ph3x
<@637908000052477953>,<@316436772722704385>,ft20,20 - 14,Plep
<@346012713329229827>,<@854882082286731284>,ft20,20 - 12,yui
<@633398160844259348>,<@728604069479841834>,ft20,20 - 16,yoda
<@316436772722704385>,<@728604069479841834>,ft20,20 - 15,esdeath
<@864526001681334325>,<@254234672639377409>,ft20,20 - 11,ph3x
<@864526001681334325>,<@662792045617872996>,ft20,20 - 7,ph3x
<@456226577798135808>,<@531534866097897485>,ft20,20 - 16,syal
<@456226577798135808>,<@531534866097897485>,ft20,20 - 15,yumi
<@864526001681334325> & <@254234672639377409>,<@456226577798135808> & <@854882082286731284>,ft20,15 - 13,team 1
<@864526001681334325>,<@254234672639377409>,ft20,20 - 13,ph3x
<@864526001681334325>,<@274129266265030657>,ft20,20 - 7,Ph3x
<@965796548493586472>,<@274129266265030657>,ft20,20 - 8,saiden
<@864526001681334325>,<@274129266265030657>,ft20,20 - 11,Ph3x
@rlan,<@274129266265030657>,ft20,20 - 10,saiden
<@864526001681334325>,<@456226577798135808>,ft20,20 - 10,ph3x
<@531534866097897485>,<@456226577798135808>,ft20,20 - 18,syal
<@864526001681334325>,<@854882082286731284>,ft20,20 - 16,ph3x
<@864526001681334325>,<@728604069479841834>,ft20,20 - 3,ph3x
<@662792045617872996>,<@346012713329229827>,ft20,20 - 16,Seised
<@531534866097897485>,<@854882082286731284>,ft20,20 - 13,Fleur
<@864526001681334325>,<@346012713329229827>,ft20,20 - 12,Phex
<@274129266265030657>,<@855617725628153886>,ft20,20 - 19,hespera
<@274129266265030657>,<@215963632121413632>,ft20,20 - 16,fen
<@254234672639377409>,<@246256712334442497>,ft20,20 - 19,zender
<@864526001681334325>,<@246256712334442497>,ft20,20 - 15,Phex
<@274129266265030657>,<@729217412007985152>,ft20,20 - 10,saiden
<@868596884242059285>,<@855617725628153886>,ft20,20 - 16,hespera
<@274129266265030657>,<@662792045617872996>,ft20,20 - 19,Saiden
<@868596884242059285>,<@855617725628153886>,ft20,20 - 12,ilyas
runa,<@771427111013318669>,ft20,20 - 5,terami
<@186075780768333824>,<@637908000052477953>,ft20,20 - 10,sc
<@868596884242059285>,Tasty,ft10,10 - 1,ilyas
<@864526001681334325> & <@456226577798135808>,<@186075780768333824> & <@215963632121413632>,ft15,15 - 6,team 1
<@864526001681334325>,<@254234672639377409>,ft20,20 - 16,ph3x
<@367011033384091668>,<@633398160844259348>,ft20,20 - 15,jade
<@864526001681334325>  <@186075780768333824>,<@367011033384091668> <@456226577798135808>,ft15,15 - 14,team 2
<@864526001681334325>,<@633398160844259348>,ft20,20 - 3,ph3x
<@864526001681334325>  <@186075780768333824>,<@367011033384091668> <@456226577798135808>,ft15,15 - 10,team 1
<@864526001681334325>,ruan (?),ft20,20 - 3,ph3x
<@170289081278922753> <@186075780768333824>,<@367011033384091668>  <@456226577798135808>,ft15,15 - 8,team 2
<@864526001681334325> <@254234672639377409>,<@367011033384091668>  <@456226577798135808>,ft15,15 -13,team 1
<@864526001681334325> <@637908000052477953>,<@367011033384091668>  <@456226577798135808>,ft15,15 -14,team 1
<@864526001681334325> <@274129266265030657>,<@367011033384091668>  <@456226577798135808>,ft15,15 -11,team 2
<@864526001681334325>,<@633398160844259348>,ft20,20 - 8,ph3x
<@864526001681334325> <@203943566479851521>,<@637908000052477953> <@456226577798135808>,ft15,15 -11,team 1
<@864526001681334325>,<@254234672639377409>,ft20,20 - 8,ph3x
<@!186075780768333824> & <@!246256712334442497>,<@!352816819557629962>,ft10,10-7,team1
<@!864526001681334325>,<@!215963632121413632>,ft20,20 - 10,ph3x
<@456226577798135808>,<@531534866097897485>,ft20,20 - 10,yumi
<@864526001681334325>,<@215963632121413632>,ft20,20 - 11,ph3x
<@!352816819557629962> & <@!186075780768333824>,<@!246256712334442497>,ft10,10-3,zender
<@864526001681334325>,<@456226577798135808>,ft20,20 - 12,ph3x
<@!352816819557629962> & <@!246256712334442497>,<@!186075780768333824>,ft10,10-7,team1
<@!186075780768333824>,<@!246256712334442497>,ft20,20 - 15,SC
<@!186075780768333824>,<@!246256712334442497>,ft20,20 - 15,zender
<@!864526001681334325>,<@!215963632121413632>,ft20,20 - 15,ph3x
<@!186075780768333824>,<@!215963632121413632>,ft20,20 - 15,SC
<@!186075780768333824>,<@!170289081278922753>,ft20,20 - 14,SC
<@!186075780768333824>,<@!864526001681334325>,ft20,20 - 14,ph3x
<@!215963632121413632>,<@!633398160844259348>,ft20,20 - 4,Fen
<@!864526001681334325>,<@!170289081278922753>,ft20,20 - 7,ph3x
<@!864526001681334325> & <@!170289081278922753>,<@!215963632121413632> & <@!203943566479851521>,ft15,15 - 12,team 1
<@!633398160844259348>,<@!637908000052477953>,ft20,20 - 13,Plep
<@!254234672639377409> & <@456226577798135808> & <@!215963632121413632>,<@!246256712334442497> & <@!186075780768333824> & <@!346012713329229827>,ft15,15 - 14,team 1
<@!254234672639377409>,<@!246256712334442497>,ft20,20 - 16,zender
<@!274129266265030657>,<@!187437626989608960>,ft20,20 - 12,poat
<@531534866097897485>,<@346012713329229827>,ft20,20 - 9,yui
<@!246256712334442497> & <@!215963632121413632>,<@!864526001681334325> & <@!855617725628153886>,ft15,15 - 11,team 2
<@316436772722704385>,<@274129266265030657>,ft20,20 - 8,saiden
<@!246256712334442497> & <@!864526001681334325>,<@!855617725628153886> & <@!215963632121413632>,ft15,15 - 14,team 2
<@456226577798135808>,<@254234672639377409>,ft20,20 - 17,yumi
<@!246256712334442497> & <@!855617725628153886>,<@!864526001681334325> & <@!215963632121413632>,ft15,15 - 7,team 2
<@!246256712334442497> & A2,<@!855617725628153886> & <@!187437626989608960>,ft15,15 - 11,team 1
<@864526001681334325>,<@493139882169073686>,ft20,10 - 4,Ph3x
<@!855617725628153886> & A2 & <@!187437626989608960>,<@!186075780768333824> & <@!246256712334442497> & <@!346012713329229827>,ft15,15 - 8,team 2
<@!254234672639377409>,<@!215963632121413632>,ft20,20-19,Alfa
<@456226577798135808>,<@!254234672639377409>,ft20,20-15,Shina
<@!246256712334442497>,<@!215963632121413632>,ft20,20-10,zender
<@!254234672639377409>,<@!864526001681334325>,ft20,20 - 17,Phex
<@!864526001681334325>,<@!855617725628153886>,ft20,20-18,hespera
<@!246256712334442497> & <@!864526001681334325>,<@!868596884242059285> & <@!855617725628153886>,ft15,15-10,team 1
<@!246256712334442497> & <@!868596884242059285> & <@!254234672639377409>,<@!864526001681334325> & <@!855617725628153886> & <@!346012713329229827>,ft15,15-13,team 2
<@855617725628153886>,<@274129266265030657>,ft20,20-13,hespera
<@!864526001681334325>,<@!170289081278922753>,ft20,20-12,ph3x
<@!246256712334442497> & <@!868596884242059285>,<@!864526001681334325> & <@!855617725628153886>,ft15,15-14,team 2
<@!246256712334442497> & <@!868596884242059285> & <@!864526001681334325> & <@!215963632121413632>,<@!254234672639377409> & <@!855617725628153886> & <@!346012713329229827> & <@!170289081278922753>,ft15,15-13,team 1
<@186075780768333824>,<@274129266265030657>,ft20,20-15,SC
<@!203943566479851521>,<@!633398160844259348>,ft20,20-9,Blitz
<@868596884242059285>,<@855617725628153886>,ft20,20-19,hespera
<@868596884242059285>,<@855617725628153886>,ft20,20-12,ilyas
<@868596884242059285>,<@855617725628153886>,ft20,20-13,ilyas
<@!246256712334442497> & Adrian & <@!203943566479851521>,<@!864526001681334325> & <@!346012713329229827> & Fen,ft15,15-8,team 2
<@!246256712334442497> & Adrian,<@!203943566479851521> & <@!346012713329229827>,ft15,15-14,team 1
<@!246256712334442497> & Adrian,Ahm & <@!254234672639377409>,ft15,15-14,team 1
<@!493139882169073686>,<@!254234672639377409>,ft20,20-8,Alfa
<@!246256712334442497> & Ahm,<@!864526001681334325> & <@!254234672639377409>,ft15,15-11,team 2
<@!246256712334442497> & <@!346012713329229827>,<@!864526001681334325> & Adrian,ft15,15-11,team 1
<@!246256712334442497> & <@!254234672639377409>,Ahm & <@!203943566479851521>,ft15,15-13,team 1
<@!246256712334442497>,<@!254234672639377409>,ft20,20-5,zender
<@!246256712334442497> & <@!864526001681334325>,Ahm & <@!254234672639377409>,ft15,15-8,team 1
<@!246256712334442497>,<@!254234672639377409>,ft20,20-4,zender
<@!246256712334442497> <@!864526001681334325> <@456226577798135808>,<@!254234672639377409> Fen Adrian,ft15,15-13,team 1
<@!246256712334442497> <@!203943566479851521> <@456226577798135808>,<@!864526001681334325> <@!254234672639377409> Ahmad,ft15,15-13,team 1
<@!246256712334442497> <@!254234672639377409> Ahmad,<@!864526001681334325> <@456226577798135808> Adrian,ft15,15-13,team 1
<@456226577798135808>,<@!203943566479851521>,ft20,20-12,yumi
<@!246256712334442497> & Shiki,<@!203943566479851521> & <@!864526001681334325>,ft15,15-13,team 2
Ahm & <@456226577798135808>,<@!254234672639377409> & <@!864526001681334325>,ft15,15-9,team 1
<@!246256712334442497> & <@!864526001681334325> & <@!254234672639377409>,Shiki & <@456226577798135808> & Ahm,ft15,15-13,team 2
<@!246256712334442497> & Shiki,<@456226577798135808> & <@!864526001681334325>,ft15,15-5,team 2
<@!246256712334442497> & <@456226577798135808>,Shiki & <@!864526001681334325>,ft15,15-11,team 1
<@!246256712334442497> & Shiki,<@456226577798135808> & <@!346012713329229827>,ft15,15-10,team 2
<@!246256712334442497> & <@!346012713329229827> & Fen,<@456226577798135808> & <@!864526001681334325> & <@!254234672639377409>,ft15,15-8,team 2
<@!246256712334442497> & <@!346012713329229827> & <@456226577798135808>,Fen & <@!864526001681334325> & <@!254234672639377409>,ft15,15-14,team 2
<@!246256712334442497>,<@!864526001681334325>,ft20,20-17,Ph3x
<@!246256712334442497>,<@!346012713329229827>,ft20,20-13,zender
<@!246256712334442497>,<@!254234672639377409>,ft20,20-8,zender
<@!587389711060959245>,<@!254234672639377409>,ft20,20-15,alfa
<@!346012713329229827>,<@!254234672639377409>,ft20,20-17,yui
<@!346012713329229827>,<@!493139882169073686>,ft20,20-8,Seised
<@!246256712334442497> & Ahm & Shiki,<@456226577798135808> & Аdrian & <@!254234672639377409>,ft15,15-11,team 2
<@!246256712334442497> & <@!254234672639377409>,<@!864526001681334325> & Ahm,ft15,15-10,team 2
<@!864526001681334325>,<@!338411288655036431>,ft20,20-13,ph3x
<@!246256712334442497> & Аdrian & <@!864526001681334325>,Ahm & Shiki & <@!254234672639377409>,ft15,15-11,team 2
<@!246256712334442497> & <@!338411288655036431>,<@!864526001681334325> & Аdrian,ft15,15-13,team 2
<@!246256712334442497> & Shiki,<@456226577798135808> & <@!346012713329229827>,ft15,15-13,team 2
<@!246256712334442497> & Аdrian,<@!864526001681334325> & <@!338411288655036431>,ft15,15-11,team 2
<@!531534866097897485>,<@!254234672639377409>,ft20,20-8,Fleur
<@!531534866097897485>,<@!338411288655036431>,ft20,20-15,Fleur
<@!346012713329229827>,<@!254234672639377409>,ft20,20-16,Yui
<@!246256712334442497>,<@!864526001681334325>,ft20,20-9,Ph3x
<@!246256712334442497>,<@!864526001681334325>,ft20,20-9,Ph3x
<@!531534866097897485>,<@!338411288655036431>,ft20,20-8,Fleur
@ren,<@!346012713329229827>,ft20,20-11,Yui
Clown & Shiki & Ahmad,<@!531534866097897485> & zender & <@!254234672639377409>,ft15,15-14,t1
<@!864526001681334325>,<@!346012713329229827>,ft20,20-18,ph3x
<@633398160844259348>,<@456226577798135808>,ft20,20-9,yoda
<@!254234672639377409>,<@!864526001681334325>,ft20,20-15,Ph3x
<@346012713329229827>,<@662792045617872996>,ft20,20-9,yui
<@!254234672639377409>,<@!864526001681334325>,ft20,20-11,Ph3x
<@456226577798135808>,Adrian,ft20,20-15,yumishi
<@!254234672639377409>,<@!864526001681334325>,ft20,20-8,Ph3x
<@!254234672639377409>,<@!854882082286731284>,ft20,20-19,absolutegod
<@!254234672639377409>,<@!864526001681334325>,ft20,20-4,Ph3x
<@!254234672639377409>,<@!493139882169073686>,ft20,20-11,Alfa
<@!254234672639377409>,<@!662792045617872996>,ft20,20-14,Alfa
<@!254234672639377409>,@zender,ft20,20-19,zender
Adrian & <@456226577798135808>   vs <@!864526001681334325>,<@!254234672639377409>,ft15,15-7,t2
<@!531534866097897485>,<@!662792045617872996>,ft20,20-11,i want makiam to stem on me
Adrian & @Shina  vs <@!864526001681334325>,<@!254234672639377409>,ft15,15-14,t2
<@!531534866097897485>,<@!493139882169073686>,ft20,20-11,speed potion is super effective!
<@662792045617872996>,Adrian,ft20,20-4,Ishtar
<@864526001681334325>,<@346012713329229827>,ft20,20-17,Ph3x
<@!531534866097897485>,<@456226577798135808>,ft20,20-17,Fleur
<@771427111013318669>,@baaha,ft20,20-14,Terami
<@!531534866097897485>,<@!247824426295361536>,ft20,20-16,Fleur
<@662792045617872996>,<@864526001681334325>,ft20,20-13,ph3x
<@!246256712334442497> & <@!864526001681334325>,<@456226577798135808> & <@!210884089710903298>,ft15,15-9,team 1
<@!493139882169073686>,<@!531534866097897485>,ft20,20-9,Syal
<@!170289081278922753>,<@!254234672639377409>,ft20,20-15,Alfa
<@!246256712334442497> & <@!210884089710903298>,<@!864526001681334325> & <@!254234672639377409>,ft15,15-13,team 1
<@!346012713329229827>,<@!254234672639377409>,ft20,20-14,Yui
<@!246256712334442497>,<@!864526001681334325>,ft20,12-20,Phex
<@633398160844259348>,<@662792045617872996>,ft15,15-6,Ishtar
<@!246256712334442497> & <@!254234672639377409>,<@!864526001681334325> & <@!210884089710903298>,ft15,15-7,team 2
<@!246256712334442497> & <@!215963632121413632>,<@456226577798135808> & <@!254234672639377409>,ft15,15-5,team 2
<@!222815348708081665> & <@!352816819557629962>,<@!864526001681334325> & <@!203943566479851521>,ft15,15-13,team 1
<@!222815348708081665> & <@!352816819557629962>,<@!864526001681334325> & <@!203943566479851521>,ft15,15-9,team 1
<@!533681260204392468> & Kuze,Adoni & Helado,ft15,15-3,team 1
<@!246256712334442497> & <@!222815348708081665>,<@!352816819557629962> & <@!210884089710903298>,ft15,15-13,team 1
<@!254234672639377409> & <@!246256712334442497>,<@!864526001681334325> & <@!170289081278922753>,ft15,15-14,team 1
<@!246256712334442497> & <@!352816819557629962>,<@!222815348708081665> & <@!210884089710903298>,ft15,15-5,team 1
<@!254234672639377409> & <@!352816819557629962>,<@!210884089710903298> & <@!203943566479851521>,ft15,15-9,team1
<@!855617725628153886> & <@!170289081278922753>,<@!864526001681334325> & <@456226577798135808>,ft15,15-11,team 1
<@!210884089710903298> & <@!352816819557629962>,<@!254234672639377409> & <@!203943566479851521>,ft15,15-6,team1
<@!246256712334442497> & <@!352816819557629962> & <@!254234672639377409>,<@!222815348708081665> & <@!210884089710903298> & <@!203943566479851521>,ft15,15-9,team1
<@!246256712334442497> & <@!352816819557629962>,<@!222815348708081665> & <@!210884089710903298>,ft15,15-6,team1
<@456226577798135808> & <@!367011033384091668>,Hespera & <@!203943566479851521>,ft15,15-12,team girls
<@456226577798135808> & <@!367011033384091668>,<@!864526001681334325>  & <@!254234672639377409>,ft15,15-6,team girls
<@!246256712334442497>,<@!222815348708081665>,ft20,20-13,zender
<@!531534866097897485>,<@!346012713329229827>,ft20,20-11,Fleur
<@456226577798135808> & <@!367011033384091668>,<@!864526001681334325> & <@!254234672639377409>,ft15,15-5,team girls
<@!246256712334442497> & <@!864526001681334325> & <@!203943566479851521>,<@456226577798135808> & <@!215963632121413632> & Shiki,ft15,15-11,team 1
<@!246256712334442497> & <@!864526001681334325>,<@456226577798135808> & <@!247824426295361536>,ft15,15-11,team 1
<@!246256712334442497> & A2 & <@!187437626989608960>,<@!186075780768333824> & <@!855617725628153886> & <@!254234672639377409>,ft15,15 - 5,team 1
<@!531534866097897485>,<@!254234672639377409> & <@!633398160844259348>,ft15,15-10,team 2
<@633398160844259348>,<@662792045617872996>,ft20,20-4,Ishtar
<@864526001681334325> <@254234672639377409>,<@367011033384091668>  <@456226577798135808>,ft15,15 -13,team 2
<@!367011033384091668> & <@456226577798135808> & <@!254234672639377409> & <@!864526001681334325>,<@!531534866097897485> & <@!662792045617872996> & @luna & <@!203943566479851521>,ft15,15-10,team 1
